healthcare spending,2010,2011,2012,2013,2014,2015,2016,2017,2018,Notes,,,,,,,,,
Australia',7%,6%,6%,6%,7%,8%,9%,9%,9%,,,,,,,,,,
Brazil,9%,8%,9%,10%,11%,15%,15%,13%,15%,,,,,,,,,,
Canada,9%,8%,8%,8%,9%,10%,11%,11%,11%,,,,,,,,,,
China,8%,7%,8%,8%,8%,8%,9%,8%,8%,,,,,,,,,,
France,8%,7%,8%,8%,8%,9%,9%,9%,8%,,,,,,,,,,
Germany,14%,13%,14%,14%,15%,18%,18%,19%,18%,,,,,,,,,,
India,11%,10%,11%,13%,12%,12%,12%,11%,11%,,,,,,,,,,
Indonesia,7%,6%,7%,7%,8%,8%,8%,8%,8%,,,,,,,,,,
Italy,9%,8%,9%,9%,9%,10%,11%,10%,10%,,,,,,,,,,
Japan,7%,8%,8%,11%,11%,13%,12%,12%,12%,,,,,,,,,,
Korea,9%,8%,9%,8%,8%,9%,10%,10%,10%,,,,,,,,,,
Mexico,10%,9%,10%,10%,9%,11%,12%,12%,12%,,,,,,,,,,
Russia,11%,9%,10%,9%,11%,15%,16%,14%,13%,,,,,,,,,,
Saudi Arabia,4%,4%,4%,4%,5%,6%,6%,6%,5%,,,,,,,,,,
South Africa,12%,12%,13%,15%,16%,19%,20%,18%,18%,,,,,,,,,,
Turkey,8%,8%,8%,8%,8%,10%,10%,11%,13%,,,,,,,,,,
United Kingdom,7%,7%,7%,8%,8%,8%,9%,10%,9%,,,,,,,,,,
United States,16%,16%,16%,16%,16%,17%,17%,17%,17%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
GDP% HC,Argentina',Australia',Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,0.09,0.07,0.09,0.09,0.08,0.08,0.14,0.11,0.07,0.09,0.07,0.09,0.1,0.11,0.04,0.12,0.08,0.07,0.16
2011,0.08,0.06,0.08,0.08,0.07,0.07,0.13,0.1,0.06,0.08,0.08,0.08,0.09,0.09,0.04,0.12,0.08,0.07,0.16
2012,0.09,0.06,0.09,0.08,0.08,0.08,0.14,0.11,0.07,0.09,0.08,0.09,0.1,0.1,0.04,0.13,0.08,0.07,0.16
2013,0.09,0.06,0.1,0.08,0.08,0.08,0.14,0.13,0.07,0.09,0.11,0.08,0.1,0.09,0.04,0.15,0.08,0.08,0.16
2014,0.09,0.07,0.11,0.09,0.08,0.08,0.15,0.12,0.08,0.09,0.11,0.08,0.09,0.11,0.05,0.16,0.08,0.08,0.16
2015,0.09,0.08,0.15,0.1,0.08,0.09,0.18,0.12,0.08,0.1,0.13,0.09,0.11,0.15,0.06,0.19,0.1,0.08,0.17
2016,0.07,0.09,0.15,0.11,0.09,0.09,0.18,0.12,0.08,0.11,0.12,0.1,0.12,0.16,0.06,0.2,0.1,0.09,0.17
2017,0.07,0.09,0.13,0.11,0.08,0.09,0.19,0.11,0.08,0.1,0.12,0.1,0.12,0.14,0.06,0.18,0.11,0.1,0.17
2018,0.08,0.09,0.15,0.11,0.08,0.08,0.18,0.11,0.08,0.1,0.12,0.1,0.12,0.13,0.05,0.18,0.13,0.09,0.17
,,,,,,,,,,,,,,,,,,,
Military Nominal,,,,,,,,,,,,,,,,,,,
Country Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,
Argentina,3.48E+09,4.05E+09,4.56E+09,5.14E+09,4.98E+09,5.48E+09,4.51E+09,5.46E+09,4.14E+09,,,,,,,,,,
Australia,2.32E+10,2.66E+10,2.62E+10,2.48E+10,2.58E+10,2.40E+10,2.64E+10,2.77E+10,2.67E+10,,,,,,,,,,
Brazil,3.40E+10,3.69E+10,3.40E+10,3.29E+10,3.27E+10,2.46E+10,2.42E+10,2.93E+10,2.78E+10,,,,,,,,,,
Canada,1.93E+10,2.14E+10,2.05E+10,1.85E+10,1.79E+10,1.79E+10,1.78E+10,2.13E+10,2.16E+10,,,,,,,,,,
China,1.16E+11,1.38E+11,1.57E+11,1.80E+11,2.01E+11,2.14E+11,2.16E+11,2.28E+11,2.50E+11,,,,,,,,,,
France,6.18E+10,6.46E+10,6.00E+10,6.24E+10,6.36E+10,5.53E+10,5.74E+10,6.04E+10,6.38E+10,,,,,,,,,,
Germany,4.63E+10,4.81E+10,4.65E+10,4.59E+10,4.61E+10,3.98E+10,4.16E+10,4.54E+10,4.95E+10,,,,,,,,,,
India,4.61E+10,4.96E+10,4.72E+10,4.74E+10,5.09E+10,5.13E+10,5.66E+10,6.46E+10,6.65E+10,,,,,,,,,,
Indonesia,4.66E+09,5.84E+09,6.53E+09,8.38E+09,6.93E+09,7.64E+09,7.39E+09,8.18E+09,7.44E+09,,,,,,,,,,
Italy,3.22E+10,3.41E+10,3.00E+10,3.01E+10,2.78E+10,2.22E+10,2.51E+10,2.67E+10,2.78E+10,,,,,,,,,,
Japan,5.47E+10,6.08E+10,6.00E+10,4.90E+10,4.69E+10,4.21E+10,4.65E+10,4.54E+10,4.66E+10,,,,,,,,,,
"Korea, Rep.",2.82E+10,3.10E+10,3.20E+10,3.43E+10,3.76E+10,3.66E+10,3.69E+10,3.92E+10,4.31E+10,,,,,,,,,,
Mexico,5.90E+09,6.47E+09,6.98E+09,7.84E+09,8.66E+09,7.74E+09,6.02E+09,5.78E+09,6.57E+09,,,,,,,,,,
Russian Federation,5.87E+10,7.02E+10,8.15E+10,8.84E+10,8.47E+10,6.64E+10,6.92E+10,6.65E+10,6.14E+10,,,,,,,,,,
Saudi Arabia,4.52E+10,4.85E+10,5.65E+10,6.70E+10,8.08E+10,8.72E+10,6.37E+10,7.04E+10,6.76E+10,,,,,,,,,,
South Africa,4.19E+09,4.59E+09,4.49E+09,4.12E+09,3.89E+09,3.49E+09,3.17E+09,3.64E+09,3.64E+09,,,,,,,,,,
Turkey,1.79E+10,1.73E+10,1.80E+10,1.87E+10,1.78E+10,1.59E+10,1.79E+10,1.78E+10,1.90E+10,,,,,,,,,,
United Kingdom,5.81E+10,6.03E+10,5.85E+10,5.69E+10,5.92E+10,5.39E+10,4.81E+10,4.64E+10,5.00E+10,,,,,,,,,,
United States,6.98E+11,7.11E+11,6.85E+11,6.40E+11,6.10E+11,5.96E+11,6.00E+11,6.06E+11,6.49E+11,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Military Nominal rounded,,,,,,,,,,,,,,,,,,,
Argentina,3,4,5,5,5,5,5,5,4,Billion USD,,,,,,,,,
Australia,23,27,26,25,26,24,26,28,27,Billion USD,,,,,,,,,
Brazil,34,37,34,33,33,25,24,29,28,Billion USD,,,,,,,,,
Canada,19,21,20,19,18,18,18,21,22,Billion USD,,,,,,,,,
China,116,138,157,180,201,214,216,228,250,Billion USD,,,,,,,,,
France,62,65,60,62,64,55,57,60,64,Billion USD,,,,,,,,,
Germany,46,48,46,46,46,40,42,45,49,Billion USD,,,,,,,,,
India,46,50,47,47,51,51,57,65,67,Billion USD,,,,,,,,,
Indonesia,5,6,7,8,7,8,7,8,7,Billion USD,,,,,,,,,
Italy,32,34,30,30,28,22,25,27,28,Billion USD,,,,,,,,,
Japan,55,61,60,49,47,42,46,45,47,Billion USD,,,,,,,,,
"Korea, Rep.",28,31,32,34,38,37,37,39,43,Billion USD,,,,,,,,,
Mexico,6,6,7,8,9,8,6,6,7,Billion USD,,,,,,,,,
Russian Federation,59,70,81,88,85,66,69,67,61,Billion USD,,,,,,,,,
Saudi Arabia,45,49,56,67,81,87,64,70,68,Billion USD,,,,,,,,,
South Africa,4,5,4,4,4,3,3,4,4,Billion USD,,,,,,,,,
Turkey,18,17,18,19,18,16,18,18,19,Billion USD,,,,,,,,,
United Kingdom,58,60,58,57,59,54,48,46,50,Billion USD,,,,,,,,,
United States,698,711,685,640,610,596,600,606,649,Billion USD,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,"Korea, Rep.",Mexico,Russian Federation,Saudi Arabia,South Africa,Turkey,United Kingdom,United States,
3,23,34,19,116,62,46,46,5,32,55,28,6,59,45,4,18,58,698,
4,27,37,21,138,65,48,50,6,34,61,31,6,70,49,5,17,60,711,
5,26,34,20,157,60,46,47,7,30,60,32,7,81,56,4,18,58,685,
5,25,33,19,180,62,46,47,8,30,49,34,8,88,67,4,19,57,640,
5,26,33,18,201,64,46,51,7,28,47,38,9,85,81,4,18,59,610,
5,24,25,18,214,55,40,51,8,22,42,37,8,66,87,3,16,54,596,
5,26,24,18,216,57,42,57,7,25,46,37,6,69,64,3,18,48,600,
5,28,29,21,228,60,45,65,8,27,45,39,6,67,70,4,18,46,606,
4,27,28,22,250,64,49,67,7,28,47,43,7,61,68,4,19,50,649,
,,,,,,,,,,,,,,,,,,,
Military GDP%,,,,,,,,,,,,,,,,,,,
Argentina,0.82,0.76,0.84,0.93,0.95,0.92,0.81,0.85,0.8,,,,,,,,,,
Australia,2.03,1.9,1.7,1.58,1.76,1.78,2.18,2.08,1.86,,,,,,,,,,
Brazil,1.54,1.41,1.38,1.33,1.33,1.37,1.35,1.43,1.49,,,,,,,,,,
Canada,1.2,1.2,1.12,1.01,0.99,1.16,1.16,1.3,1.26,,,,,,,,,,
China,1.9,1.83,1.84,1.88,1.92,1.94,1.94,1.88,1.84,,,,,,,,,,
France,1.82,1.73,1.7,1.67,1.64,1.65,1.65,1.65,1.62,,,,,,,,,,
Germany,1.75,1.68,1.73,1.63,1.62,1.63,1.68,1.75,1.78,,,,,,,,,,
India,2.75,2.72,2.58,2.55,2.5,2.44,2.47,2.43,2.45,,,,,,,,,,
Indonesia,0.62,0.65,0.71,0.92,0.78,0.89,0.79,0.81,0.71,,,,,,,,,,
Italy,1.51,1.49,1.44,1.41,1.29,1.21,1.34,1.37,1.33,,,,,,,,,,
Japan,0.96,0.99,0.97,0.95,0.97,0.96,0.94,0.93,0.94,,,,,,,,,,
"Korea, Rep.",2.57,2.58,2.61,2.63,2.66,2.64,2.61,2.56,2.66,,,,,,,,,,
Mexico,0.56,0.55,0.58,0.61,0.66,0.66,0.56,0.5,0.54,,,,,,,,,,
Russian Federation,3.85,3.42,3.69,3.85,4.11,4.87,5.4,4.21,3.7,,,,,,,,,,
Saudi Arabia,8.57,7.23,7.68,8.98,10.68,13.33,9.87,10.22,8.59,,,,,,,,,,
South Africa,1.12,1.1,1.13,1.12,1.11,1.1,1.07,1.04,0.99,,,,,,,,,,
Turkey,2.32,2.08,2.05,1.96,1.9,1.85,2.07,2.09,2.46,,,,,,,,,,
United Kingdom,2.35,2.27,2.16,2.04,1.93,1.84,1.79,1.74,1.75,,,,,,,,,,
United States,4.66,4.58,4.23,3.81,3.48,3.27,3.21,3.11,3.16,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,"Korea, Rep.",Mexico,Russian Federation,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,0.82,2.03,1.54,1.2,1.9,1.82,1.75,2.75,0.62,1.51,0.96,2.57,0.56,3.85,8.57,1.12,2.32,2.35,4.66
2011,0.76,1.9,1.41,1.2,1.83,1.73,1.68,2.72,0.65,1.49,0.99,2.58,0.55,3.42,7.23,1.1,2.08,2.27,4.58
2012,0.84,1.7,1.38,1.12,1.84,1.7,1.73,2.58,0.71,1.44,0.97,2.61,0.58,3.69,7.68,1.13,2.05,2.16,4.23
2013,0.93,1.58,1.33,1.01,1.88,1.67,1.63,2.55,0.92,1.41,0.95,2.63,0.61,3.85,8.98,1.12,1.96,2.04,3.81
2014,0.95,1.76,1.33,0.99,1.92,1.64,1.62,2.5,0.78,1.29,0.97,2.66,0.66,4.11,10.68,1.11,1.9,1.93,3.48
2015,0.92,1.78,1.37,1.16,1.94,1.65,1.63,2.44,0.89,1.21,0.96,2.64,0.66,4.87,13.33,1.1,1.85,1.84,3.27
2016,0.81,2.18,1.35,1.16,1.94,1.65,1.68,2.47,0.79,1.34,0.94,2.61,0.56,5.4,9.87,1.07,2.07,1.79,3.21
2017,0.85,2.08,1.43,1.3,1.88,1.65,1.75,2.43,0.81,1.37,0.93,2.56,0.5,4.21,10.22,1.04,2.09,1.74,3.11
2018,0.8,1.86,1.49,1.26,1.84,1.62,1.78,2.45,0.71,1.33,0.94,2.66,0.54,3.7,8.59,0.99,2.46,1.75,3.16
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
MilitaryperPerson,,,,,,,,,,,,,,,,,,,
Argentina,85,98,109,122,117,127,103,124,93,USD/person,,,,,,,,,
Australia,1054,1191,1153,1073,1098,1010,1091,1126,1069,USD/person,,,,,,,,,
Brazil,174,187,171,164,161,120,118,141,133,USD/person,,,,,,,,,
Canada,568,623,589,528,504,502,492,584,583,USD/person,,,,,,,,,
China,87,103,117,133,147,156,157,164,180,USD/person,,,,,,,,,
France,950,989,914,946,959,831,858,904,952,USD/person,,,,,,,,,
Germany,566,600,578,570,569,487,505,549,597,USD/person,,,,,,,,,
India,37,40,37,37,39,39,43,48,49,USD/person,,,,,,,,,
Indonesia,19,24,26,33,27,30,28,31,28,USD/person,,,,,,,,,
Italy,542,574,504,500,457,366,414,442,460,USD/person,,,,,,,,,
Japan,922,1023,1008,814,771,693,767,750,771,USD/person,,,,,,,,,
"Korea, Rep.",220,242,250,269,295,288,290,309,340,USD/person,,,,,,,,,
Mexico,119,130,139,155,171,152,117,112,127,USD/person,,,,,,,,,
Russian Federation,515,607,695,744,704,545,561,533,486,USD/person,,,,,,,,,
Saudi Arabia,317,339,395,467,562,605,441,487,468,USD/person,,,,,,,,,
South Africa,153,163,154,137,126,110,98,110,108,USD/person,,,,,,,,,
Turkey,350,333,340,348,326,287,318,313,328,USD/person,,,,,,,,,
United Kingdom,803,821,784,749,766,686,603,573,607,USD/person,,,,,,,,,
United States,11123,11245,10750,9975,9439,9153,9149,9171,9758,USD/person,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,"Korea, Rep.",Mexico,Russian Federation,Saudi Arabia,South Africa,Turkey,United Kingdom,United States,
85,1054,174,568,87,950,566,37,19,542,922,220,119,515,317,153,350,803,11123,
98,1191,187,623,103,989,600,40,24,574,1023,242,130,607,339,163,333,821,11245,
109,1153,171,589,117,914,578,37,26,504,1008,250,139,695,395,154,340,784,10750,
122,1073,164,528,133,946,570,37,33,500,814,269,155,744,467,137,348,749,9975,
117,1098,161,504,147,959,569,39,27,457,771,295,171,704,562,126,326,766,9439,
127,1010,120,502,156,831,487,39,30,366,693,288,152,545,605,110,287,686,9153,
103,1091,118,492,157,858,505,43,28,414,767,290,117,561,441,98,318,603,9149,
124,1126,141,584,164,904,549,48,31,442,750,309,112,533,487,110,313,573,9171,
93,1069,133,583,180,952,597,49,28,460,771,340,127,486,468,108,328,607,9758,
,,,,,,,,,,,,,,,,,,,
Education/GDP,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,
Argentina,0.05,0.053,0.053,0.054,0.054,0.058,0.056,0.055,0.055,,,,,,,,,,
Australia,0.056,0.051,0.049,0.052,0.052,0.053,0.053,0.053,0.054,,,,,,,,,,
Brazil,0.056,0.057,0.059,0.058,0.059,0.062,0.064,0.065,0.066,,,,,,,,,,
Canada,0.054,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.053,,,,,,,,,,
China,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.041,,,,,,,,,,
France,0.057,0.055,0.055,0.055,0.055,0.055,0.054,0.054,0.054,,,,,,,,,,
Germany,0.049,0.048,0.049,0.049,0.049,0.048,0.048,0.048,0.048,,,,,,,,,,
India,0.034,0.038,0.039,0.038,0.037,0.038,0.039,0.039,0.039,,,,,,,,,,
Indonesia,0.028,0.032,0.034,0.034,0.033,0.036,0.037,0.038,0.039,,,,,,,,,,
Italy,0.044,0.041,0.041,0.042,0.041,0.041,0.038,0.038,0.037,,,,,,,,,,
Japan,0.036,0.036,0.037,0.037,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,
Korea,0.052,0.051,0.051,0.047,0.053,0.052,0.049,0.049,0.048,,,,,,,,,,
Mexico,0.039,0.039,0.038,0.039,0.039,0.039,0.039,0.039,0.039,,,,,,,,,,
Russia,0.038,0.038,0.038,0.038,0.04,0.038,0.037,0.037,0.037,,,,,,,,,,
Saudi Arabia,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,
South Africa,0.057,0.06,0.064,0.06,0.06,0.06,0.059,0.061,0.062,,,,,,,,,,
Turkey,0.031,0.03,0.031,0.031,0.032,0.031,0.031,0.031,0.031,,,,,,,,,,
United Kingdom,0.058,0.056,0.056,0.056,0.057,0.056,0.055,0.055,0.054,,,,,,,,,,
United States,0.039,0.038,0.036,0.035,0.035,0.035,0.034,0.034,0.033,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
